Ships and boats             ,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,22,0,0,0,0,0,0,0,0,0,0
Air and spacecraft and related machinery          ,4,0,0,0,79,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,10,0,3294,0,9,0,0,188,1,0,0,0,0,0,0,7,6,3,4,0,4,0,387,11,4,1,1,0,8,12,4,1,1,32,1,0,0,1,0,1,1,0,3,1,0,1,3,3,0,0,1,205,3,0,4,0,0,3,6,3,0,1
Other transport equipment - 30.2/4/9           ,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,0,0,0,0,0,235,0,0,0,0,38,0,0,0,0,0,0,6,4,6,2,36,0,0,2,14,4,2,2,0,2,0,2,2,2,0,0,0,0,0,0,0,2,4,4,0,2,4,4,4,0,2,2,8,0,288,0,0,0,4,0,2,0,2
Furniture               ,0,8,1,0,0,0,0,4,1,0,1,1,2,2,0,2,1,0,3,1,0,1,2,1,0,2,1,2,2,2,2,4,2,7,5,0,0,1,1,5,2,6,131,2,7,4,404,2,3,1,6,21,1,3,0,1,0,59,9,17,44,2,6,2,1,7,7,10,29,2,9,6,8,2,29,16,4,16,1,24,6,6,13,3,3,5,1,12,21,1,2,10,24,664,397,175,159,1,5,5,44,3,1,4
Other manufactured goods             ,117,19,6,16,11,12,0,3,15,2,13,30,23,57,14,32,15,8,14,69,10,37,34,959,18,18,17,89,27,188,19,16,75,14,66,0,0,5,15,16,88,1191,534,69,144,9,34,371,40,13,321,130,33,28,96,0,7,667,220,410,175,21,113,15,22,110,52,41,105,132,37,334,145,16,215,122,134,21,6,95,24,50,144,15,93,20,165,25,13,10,10,40,2,95,337,9,276,5,8,33,23,6,8,37
Repair and maintenance of ships and boats         ,0,0,63,0,210,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,105,0,0,0,0,65,0,0,0,0,0,3,9,0,2,6,0,0,0,0,510,0,48,0,0,0,0,0,0,0,0,1,14,14,0,0,0,0,0,0,0,0,0,0,0,0,12,0,9,0,0,0,0,0,0,0,0,0,0,0,0
Repair and maintenance of aircraft and spacecraft         ,3,0,0,0,97,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2107,0,0,0,0,1725,0,0,0,0,0,0,0,4,4,0,0,0,2,0,309,49,0,0,0,0,2,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,4,3,0,0
Rest of repair; Installation - 33.11-14/17/19/20          ,42,11,10,44,263,29,20,57,28,1,31,9,41,59,8,49,30,4,14,11,1,79,28,12,58,11,11,2,16,77,19,13,194,46,38,81,73,44,213,253,460,1023,1280,132,410,604,52,123,75,84,125,340,28,58,10,52,0,2772,255,185,92,119,105,28,10,124,30,7,20,20,21,401,92,13,33,20,12,23,0,8,6,3,32,6,13,4,157,46,13,8,1,26,10,0,22,3,45,4,67,6,49,3,21,11
"Electricity, transmission and distribution",399,16,67,56,170,139,12,238,118,9,94,110,140,194,71,236,31,10,80,31,4,95,601,123,603,20,52,55,136,282,188,180,381,328,224,264,303,29,295,135,139,422,444,155,209,31,67,59,28,17,53,27745,2372,397,31,69,3,651,236,688,1535,213,256,45,85,167,238,148,390,89,54,310,297,36,483,194,231,64,3,44,60,63,170,42,61,37,17,167,75,33,11,101,95,818,572,895,233,76,86,16,133,23,14,37
Gas; distribution of gaseous fuels through mains; steam and air conditioning supply    ,50,10,48,25,378,90,132,189,248,17,119,122,190,523,33,353,19,11,117,30,14,70,613,51,268,32,20,46,136,340,262,143,370,474,635,292,126,12,438,100,121,342,270,70,76,22,21,29,27,5,49,7893,2620,19,11,21,0,100,81,141,219,27,63,9,24,35,40,46,127,60,12,45,22,2,110,50,28,2,0,21,9,16,61,22,18,10,9,49,21,3,1,14,18,383,421,581,261,4,52,11,61,6,4,18
